,filename,emotion_id,video_id,sex,prosody,intensity_level
3815,A410_neu_sit1_v.mp4,22,A410,m,meli,0
3816,A435_scha_p_3.mp4,15,A435,m,naro,3
3817,A207_exc_p_3.mp4,36,A207,m,naro,3
3818,A417_pos_sur_v_3.mp4,9,A417,m,meli,3
3819,A323_hop_v_3.mp4,21,A323,f,meli,3
3820,A417_hap_v_2.mp4,33,A417,m,meli,2
3821,A327_ple_p_3.mp4,23,A327,m,meli,3
3822,A205_awe_v_2.mp4,18,A205,f,naro,2
3823,A323_gra_p_3.mp4,7,A323,f,meli,3
3824,A405_ten_p_3.mp4,28,A405,f,meli,3
3825,A55_det_v_3_ver1.mp4,2,A55,m,meli,3
3826,A91_scha_v_3.mp4,15,A91,f,naro,3
3827,A424_gui_p_3.mp4,40,A424,f,meli,3
3828,A327_bor_v_2.mp4,26,A327,m,meli,2
3829,A417_gra_p_3.mp4,7,A417,m,meli,3
3830,A303_fea_p_2.mp4,10,A303,m,meli,2
3831,A220_ang_p_2.mp4,12,A220,m,naro,2
3832,A410_rel_v_3.mp4,38,A410,m,meli,3
3833,A227_emb_p_2.mp4,39,A227,f,naro,2
3834,A102_bor_p_3.mp4,26,A102,f,naro,3
3835,A417_int_v_2.mp4,29,A417,m,meli,2
3836,A327_sex_p_3.mp4,24,A327,m,meli,3
3837,A405_pos_sur_p_3.mp4,9,A405,f,meli,3
3838,A220_gui_v_3.mp4,40,A220,m,naro,3
3839,A221_neu_sit3_v.mp4,22,A221,f,naro,0
3840,A67_neu_sit1_p.mp4,22,A67,m,meli,0
3841,A91_anx_p_3.mp4,34,A91,f,naro,3
3842,A327_bor_p_2.mp4,26,A327,m,meli,2
3843,A424_emb_p_2.mp4,39,A424,f,meli,2
3844,A91_hop_p_2.mp4,21,A91,f,naro,2
3845,A410_det_p_2.mp4,2,A410,m,meli,2
3846,A435_sex_p_2.mp4,24,A435,m,naro,2
3847,A221_disg_p_2.mp4,35,A221,f,naro,2
3848,A72_disg_p_2.mp4,35,A72,m,naro,2
3849,A102_rej_p_3.mp4,14,A102,f,naro,3
3850,A303_emb_v_2.mp4,39,A303,m,meli,2
3851,A327_fea_p_2.mp4,10,A327,m,meli,2
3852,A407_bor_v_3.mp4,26,A407,f,meli,3
3853,A438_dou_p_2.mp4,3,A438,m,naro,2
3854,A55_hap_v_3_ver1.mp4,33,A55,m,meli,3
3855,A323_bor_p_2.mp4,26,A323,f,meli,2
3856,A424_sar_v_3.mp4,31,A424,f,meli,3
3857,A410_bor_v_3.mp4,26,A410,m,meli,3
3858,A332_neg_sur_p_2.mp4,11,A332,f,meli,2
3859,A205_rej_v_3.mp4,14,A205,f,naro,3
3860,A205_exc_p_2.mp4,36,A205,f,naro,2
3861,A72_fea_v_3.mp4,10,A72,m,naro,3
3862,A425_mov_p_2.mp4,42,A425,f,naro,2
3863,A221_sha_p_3.mp4,43,A221,f,naro,3
3864,A102_pos_sur_p_3.mp4,9,A102,f,naro,3
3865,A437_pea_p_3.mp4,25,A437,m,naro,3
3866,A425_ten_v_3.mp4,28,A425,f,naro,3
3867,A200_sad_v_3.mp4,6,A200,m,naro,3
3868,A410_sat_v_3.mp4,16,A410,m,meli,3
3869,A220_neu_sit4_v.mp4,22,A220,m,naro,0
3870,A207_det_p_3.mp4,2,A207,m,naro,3
3871,A435_awe_p_2.mp4,18,A435,m,naro,2
3872,A407_anx_p_2.mp4,34,A407,f,meli,2
3873,A327_mov_p_3.mp4,42,A327,m,meli,3
3874,A64_anx_v_2.mp4,34,A64,m,meli,2
3875,A437_sad_p_2.mp4,6,A437,m,naro,2
3876,A410_ele_p_3.mp4,8,A410,m,meli,3
3877,A303_pea_p_2.mp4,25,A303,m,meli,2
3878,A437_ple_v_3.mp4,23,A437,m,naro,3
3879,A64_pea_p_2.mp4,25,A64,m,meli,2
3880,A424_hap_v_2.mp4,33,A424,f,meli,2
3881,A327_gui_v_3.mp4,40,A327,m,meli,3
3882,A424_scha_v_2.mp4,15,A424,f,meli,2
3883,A207_awe_v_2.mp4,18,A207,m,naro,2
3884,A72_sar_p_3.mp4,31,A72,m,naro,3
3885,A207_ang_v_2.mp4,12,A207,m,naro,2
3886,A426_rel_p_2.mp4,38,A426,f,naro,2
3887,A334_mov_v_3.mp4,42,A334,f,meli,3
3888,A67_mov_v_3.mp4,42,A67,m,meli,3
3889,A72_ele_p_2.mp4,8,A72,m,naro,2
3890,A91_ins_p_3.mp4,19,A91,f,naro,3
3891,A424_awe_p_3.mp4,18,A424,f,meli,3
